"Quốc gia","Tỉnh/Thành phố",Quận/Huyện,"Zip/Postal Code From","Zip/Postal Code To","Trọng lượng From","Trọng lượng To","Shipping Price","Delivery Type"
CHE,*,,,,8501.0000,9000.0000,4434210.0000,"Express Saver"
CHE,*,,,,501.0000,1000.0000,1192290.0000,"Express Saver"
CHE,*,,,,4001.0000,4500.0000,1240250.0000,"Normal Shipping"
CHE,*,,,,11501.0000,12000.0000,2855600.0000,"Normal Shipping"
CHE,*,,,,8001.0000,8500.0000,4231590.0000,"Express Saver"
CHE,*,,,,0.0000,500.0000,989670.0000,"Express Saver"
CHE,*,,,,3501.0000,4000.0000,1132560.0000,"Normal Shipping"
CHE,*,,,,11001.0000,11500.0000,2747910.0000,"Normal Shipping"
CHE,*,,,,7501.0000,8000.0000,4028970.0000,"Express Saver"
CHE,*,,,,15001.0000,15500.0000,7068270.0000,"Express Saver"
CHE,*,,,,3001.0000,3500.0000,1024870.0000,"Normal Shipping"
CHE,*,,,,10501.0000,11000.0000,2640220.0000,"Normal Shipping"
CHE,*,,,,7001.0000,7500.0000,3826350.0000,"Express Saver"
CHE,*,,,,14501.0000,15000.0000,6865650.0000,"Express Saver"
CHE,*,,,,2501.0000,3000.0000,917180.0000,"Normal Shipping"
CHE,*,,,,10001.0000,10500.0000,2532530.0000,"Normal Shipping"
CHE,*,,,,6501.0000,7000.0000,3623730.0000,"Express Saver"
CHE,*,,,,14001.0000,14500.0000,6663030.0000,"Express Saver"
CHE,*,,,,2001.0000,2500.0000,809490.0000,"Normal Shipping"
CHE,*,,,,6001.0000,6500.0000,3421110.0000,"Express Saver"
CHE,*,,,,9501.0000,10000.0000,2424840.0000,"Normal Shipping"
CHE,*,,,,13501.0000,14000.0000,6460410.0000,"Express Saver"
CHE,*,,,,1501.0000,2000.0000,701800.0000,"Normal Shipping"
CHE,*,,,,5501.0000,6000.0000,3218490.0000,"Express Saver"
CHE,*,,,,9001.0000,9500.0000,2317150.0000,"Normal Shipping"
CHE,*,,,,13001.0000,13500.0000,6257790.0000,"Express Saver"
CHE,*,,,,1001.0000,1500.0000,594110.0000,"Normal Shipping"
CHE,*,,,,5001.0000,5500.0000,3015870.0000,"Express Saver"
CHE,*,,,,12501.0000,13000.0000,6055170.0000,"Express Saver"
CHE,*,,,,8501.0000,9000.0000,2209460.0000,"Normal Shipping"
CHE,*,,,,501.0000,1000.0000,486420.0000,"Normal Shipping"
CHE,*,,,,4501.0000,5000.0000,2813250.0000,"Express Saver"
CHE,*,,,,12001.0000,12500.0000,5852550.0000,"Express Saver"
CHE,*,,,,8001.0000,8500.0000,2101770.0000,"Normal Shipping"
CHE,*,,,,0.0000,500.0000,378730.0000,"Normal Shipping"
CHE,*,,,,4001.0000,4500.0000,2610630.0000,"Express Saver"
CHE,*,,,,11501.0000,12000.0000,5649930.0000,"Express Saver"
CHE,*,,,,7501.0000,8000.0000,1994080.0000,"Normal Shipping"
CHE,*,,,,15001.0000,15500.0000,3609430.0000,"Normal Shipping"
CHE,*,,,,3501.0000,4000.0000,2408010.0000,"Express Saver"
CHE,*,,,,11001.0000,11500.0000,5447310.0000,"Express Saver"
CHE,*,,,,7001.0000,7500.0000,1886390.0000,"Normal Shipping"
CHE,*,,,,14501.0000,15000.0000,3501740.0000,"Normal Shipping"
CHE,*,,,,3001.0000,3500.0000,2205390.0000,"Express Saver"
